RAM,avgRating,batteryCapacity,color,discount,lensDetail,memoryDetail,name,price,processor,ratingCount,reviewCount,screenDimention,warranty
"4 GB,6 GB",4.2,5000 mAh Battery,"Cool Blue,Forest Green,Power Black",20% off,50MP Dual Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"POCO C55 (Forest Green, 64 GB)","₹9,499",Mediatek Helio G85 Processor,"20,294 Ratings","1,126 Reviews",17.04 cm (6.71 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"2 GB,3 GB",4.2,5000 mAh Lithium Polymer Battery,"Black,Light Blue,Light Green",37% off,8MP Rear Camera | 5MP Front Camera,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"REDMI A1+ (Light Green, 32 GB)","₹6,299",Mediatek Helio A22 Processor,"5,081 Ratings",210 Reviews,16.56 cm (6.52 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"6 GB,8 GB",4.1,5000 mAh Lithium Polymer Battery,"Frosted Blue,Midnight Gray",34% off,50MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM | 128 GB ROM,"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹16,499",Qualcomm Snapdragon 695 5G Processor,"14,021 Ratings","1,254 Reviews",16.64 cm (6.55 inch) Full HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,6 GB",4.2,6000 mAh Battery,"B.A.E. Purple,GOAT Green,OMG Black",21% off,50MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹14,490","Exynos 1330, Octa Core Processor","13,201 Ratings","1,012 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"4 GB,6 GB",4.2,6000 mAh Battery,"B.A.E. Purple,GOAT Green,OMG Black",21% off,50MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹14,490","Exynos 1330, Octa Core Processor","13,201 Ratings","1,012 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"4 GB,6 GB",4.4,5000 mAh Battery,"Flashy Black,Peppy Purple,Playful Green",33% off,50MP + 2MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"REDMI 11 Prime (Peppy Purple, 64 GB)","₹9,999",Helio G99 Processor,"2,066 Ratings",85 Reviews,16.71 cm (6.58 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
,3.6,950 mAh Battery,"Black & Red,Blue & Red",25% off,0.3MP Rear Camera,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,GFive U707,₹749,,"12,428 Ratings","1,156 Reviews",4.57 cm (1.8 inch) Display,1 Year Manufacturer warranty.
"4 GB,6 GB",4.2,6000 mAh Battery,"B.A.E. Purple,GOAT Green,OMG Black",21% off,50MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹14,490","Exynos 1330, Octa Core Processor","13,201 Ratings","1,012 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"4 GB,6 GB",4.3,5000 mAh Lithium Ion Battery,"Aqua Blue,Copper Blush,Forest Green",29% off,50MP + 8MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹16,999",Qualcomm Snapdragon 750G Processor,"1,91,010 Ratings","14,759 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty Provided by the Manufacturer from Date of Purchase
"4 GB,6 GB",4.2,5000 mAh Lithium Ion Polymer Battery,"Cool Blue,Power Black,Yellow",26% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"POCO M4 5G (Yellow, 128 GB)","₹13,999",Mediatek Dimensity 700 Processor,"39,526 Ratings","2,873 Reviews",16.71 cm (6.58 inch) Full HD+ Display,1 Year Warranty for Handset and 6 Months for Accessories
